#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-12 00:05:51
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-12 00:05:51 GET / 13.112.201.17 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - BIRDKERNANDDALMIA.com 200 0 6719
2017-05-12 04:36:11 GET /Images/Equipment-button.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 3786
2017-05-12 04:36:11 GET /Images/contact-us-button.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 3759
2017-05-12 04:36:11 GET /Images/Therapist-button.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 3556
2017-05-12 04:36:12 GET /images/bottombar.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 1851
2017-05-12 04:36:12 GET /Images/vision-page-background2.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 18023
2017-05-12 04:36:12 GET /Images/Home-button-MO.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 2962
2017-05-12 04:36:12 GET /Images/Therapy-services-MO.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 1659
2017-05-12 04:36:12 GET /Images/Vision-Button-MO.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 3058
2017-05-12 04:36:12 GET /Images/Intake-Forms-Button-MO.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 4229
2017-05-12 04:36:12 GET /Images/Equipment-button-MO.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 3936
2017-05-12 04:36:26 GET /jakarta/isapi_redirect.dll 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 6547
2017-05-12 04:36:26 GET /Images/contact-us-page-background.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 7908
2017-05-12 04:36:35 GET /therapists.html 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 7299
2017-05-12 04:36:35 GET /Images/therapists-page-backgrounds2.jpg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 11484
2017-05-12 04:37:00 GET /jakarta/isapi_redirect.dll 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/marilynrbird.html www.birdkernanddalmia.com 200 0 9005
2017-05-12 04:37:00 GET /images/therapyservicesbackground.jpeg 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/therapyservices.cfm www.birdkernanddalmia.com 200 0 25858
2017-05-12 04:37:08 GET /jakarta/isapi_redirect.dll 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/vision.html www.birdkernanddalmia.com 200 0 9005
2017-05-12 04:37:13 GET /Laura+Craine.html 50.168.43.30 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+9_3_5+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13G36+Safari/601.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 7765
