#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-14 00:10:19
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-02-14 02:01:43 GET /intakeforms.html 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/carolynkern.html www.birdkernanddalmia.com 200 0 7484
2018-02-14 02:01:43 GET /images/PKPTA.jpg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 93022
2018-02-14 02:01:43 GET /Images/intakeforms-page-background.jpg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 13042
2018-02-14 02:01:43 GET /images/BKRoPI.jpg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 105184
2018-02-14 02:01:43 GET /images/BKCCHF.jpg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 107396
2018-02-14 02:01:43 GET /images/BKPP.jpg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 213832
2018-02-14 02:01:44 GET /images/Bird+and+Kern+Billing+Form.jpeg 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 715560
2018-02-14 02:09:28 GET /therapists.html 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 https://www.google.com/ www.birdkernanddalmia.com 200 0 7299
2018-02-14 02:09:28 GET /Images/Home-button.jpg 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 2885
2018-02-14 02:09:28 GET /cssone.css 107.77.92.77 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 876
