#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-20 00:10:23
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-10-20 01:44:36 GET / 121.58.248.99 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/59.0.3071.115+Safari/537.36 - www.birdkernanddalmia.com 200 0 6423
2017-10-20 01:44:36 GET /jakarta/isapi_redirect.dll 121.58.248.99 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_11_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/59.0.3071.115+Safari/537.36 - www.birdkernanddalmia.com 200 0 6547
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-20 02:00:25
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-10-20 02:00:25 GET /robots.txt 157.55.39.158 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 404 0 5465
2017-10-20 02:00:26 GET /Images/Equipment-button.jpg 157.55.39.158 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3786
2017-10-20 02:00:28 GET /Images/Cool-Ideas-button.jpg 207.46.13.50 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3605
2017-10-20 02:00:28 GET /Images/Home-button-MO.jpg 207.46.13.50 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2962
2017-10-20 02:00:28 GET /Images/Equipment-button-MO.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3936
2017-10-20 02:00:28 GET /Images/Home-button.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2885
2017-10-20 02:00:28 GET /Images/Intake-Forms-Button.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 4049
2017-10-20 02:00:28 GET /Images/Links-Button.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2773
2017-10-20 02:00:28 GET /Images/News-Button.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2706
2017-10-20 02:00:28 GET /Images/Therapist-button.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3556
2017-10-20 02:00:28 GET /Images/Therapsits-button-MO.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3705
2017-10-20 02:00:28 GET /Images/Therapy-services-MO.jpg 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1659
2017-10-20 02:00:28 GET /Scripts/AC_RunActiveContent.js 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 8613
2017-10-20 02:00:28 GET /cssone.css 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 876
2017-10-20 02:00:30 GET /Images/Vision-Button-MO.jpg 207.46.13.50 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3058
2017-10-20 02:00:30 GET /images/NewAddressAnimation.gif 40.77.167.128 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1453307
2017-10-20 02:00:37 GET /Images/Contact-Us-Button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3901
