#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 00:07:43
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 01:57:48 GET /lindsayMitchell.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 7391
2017-09-04 01:57:50 GET /codyostadsharif.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 7464
2017-09-04 01:57:53 GET /marywaltz.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 7957
2017-09-04 01:57:55 GET /juliemcafee.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 8094
2017-09-04 01:57:57 GET /pricing.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 404 0 5473
2017-09-04 01:57:57 GET /coolideas.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 404 0 5477
2017-09-04 01:57:57 GET /equipment.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 6326
2017-09-04 01:57:59 GET /news.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 6322
2017-09-04 01:58:01 GET /links.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 416 0 693
2017-09-04 01:58:01 GET /contactus.html 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 206 0 6328
